actual,proposed
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5154032111167908
0.0,0.5964530110359192
0.0,0.6759063601493835
0.0,0.7553393244743347
0.0,0.810377836227417
0.0,0.8485400080680847
0.0,0.8750184774398804
0.0,0.8810763359069824
0.0,0.8614751696586609
0.0,0.8364431262016296
0.0,0.8079110383987427
0.0,0.7772223949432373
0.0,0.7453077435493469
0.0,0.7026286721229553
0.0,0.6632174849510193
0.0,0.6359742879867554
0.0,0.627065122127533
0.0,0.6013695001602173
0.0,0.5651403665542603
0.0,0.5492064952850342
0.0,0.5572320222854614
0.0,0.5628151893615723
0.0,0.5570665001869202
0.0,0.5437440872192383
0.0,0.5345584154129028
0.0,0.537615954875946
0.0,0.5494174361228943
0.0,0.5675448179244995
0.0,0.6007896065711975
0.0,0.623837411403656
0.0,0.6398363709449768
0.0,0.6509552001953125
0.0,0.669434130191803
0.0,0.6822666525840759
0.0,0.7022064328193665
0.0,0.7050405144691467
0.0,0.6963103413581848
0.0,0.6903142929077148
0.0,0.6862059831619263
0.0,0.6834044456481934
0.0,0.6608213782310486
0.0,0.6256260871887207
0.0,0.582772433757782
0.0,0.5531445145606995
0.0,0.5068817734718323
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
0.0,0.5
