actual,proposed
-3.110826253890991,-2.924593210220337
-3.114025354385376,-2.986670970916748
-3.1076269149780273,-3.0291223526000977
-3.1076269149780273,-3.055290699005127
-3.464747428894043,-3.0727360248565674
-3.461209535598755,-3.203406572341919
-3.461209535598755,-3.2893407344818115
-3.461209535598755,-3.346630334854126
-3.4576711654663086,-3.3848233222961426
-3.6787192821502686,-3.4091060161590576
-3.6824653148651123,-3.4989771842956543
-3.6824653148651123,-3.5601398944854736
-3.6824653148651123,-3.60091495513916
-3.6824653148651123,-3.628098487854004
-3.880425453186035,-3.6462206840515137
-3.8725829124450684,-3.7242889404296875
-3.8647384643554688,-3.7737202644348145
-3.8686609268188477,-3.8040597438812256
-3.8686609268188477,-3.8255934715270996
-3.8686609268188477,-3.839949369430542
-4.008702278137207,-3.849519729614258
-4.00465202331543,-3.902580738067627
-4.000600337982178,-3.9366044998168945
-3.996548652648926,-3.9579365253448486
-3.996548652648926,-3.9708070755004883
-4.058136940002441,-3.9793875217437744
-4.058136940002441,-4.005637168884277
-4.054023742675781,-4.023137092590332
-4.049910068511963,-4.033432483673096
-4.049910068511963,-4.0389251708984375
-4.1889519691467285,-4.042586803436279
-4.1931915283203125,-4.09137487411499
-4.1931915283203125,-4.125313758850098
-4.1931915283203125,-4.147939682006836
-4.1889519691467285,-4.163023948669434
-4.37698221206665,-4.171666622161865
-4.37698221206665,-4.240105152130127
-4.37698221206665,-4.285730838775635
-4.37698221206665,-4.316147804260254
-4.37698221206665,-4.33642578125
-4.37698221206665,-4.349944591522217
-4.463987827301025,-4.358957290649414
-4.459506988525391,-4.393967151641846
-4.459506988525391,-4.41581392288208
-4.459506988525391,-4.430378437042236
-4.455025672912598,-4.440087795257568
-4.815515041351318,-4.445067405700684
-4.820308685302734,-4.568549633026123
-4.815515041351318,-4.652469158172607
-4.810719966888428,-4.706818103790283
-4.805923938751221,-4.741451740264893
-5.2202839851379395,-4.762942790985107
-5.20997428894043,-4.915389537811279
-5.204817771911621,-5.013584613800049
-5.204817771911621,-5.077328681945801
-5.19965934753418,-5.11982536315918
-5.19965934753418,-5.14643669128418
-5.446568489074707,-5.164177417755127
-5.441202640533447,-5.258307933807373
-5.441202640533447,-5.319272994995117
-5.451932907104492,-5.3599162101745605
-5.441202640533447,-5.390588283538818
-5.690828323364258,-5.407459735870361
-5.685257911682129,-5.50191593170166
-5.690828323364258,-5.563029766082764
-5.679686069488525,-5.6056294441223145
-5.679686069488525,-5.630314826965332
-5.9930572509765625,-5.6467719078063965
-5.987244129180908,-5.762200355529785
-5.981428623199463,-5.837214946746826
-5.987244129180908,-5.885286331176758
-5.987244129180908,-5.919271945953369
-6.31361722946167,-5.941929340362549
-6.301506042480469,-6.065825462341309
-6.301506042480469,-6.144385814666748
-6.28938627243042,-6.196759223937988
-6.283323287963867,-6.227634906768799
-6.610625743865967,-6.246197700500488
-6.604323387145996,-6.367673873901367
-6.604323387145996,-6.44655704498291
-6.604323387145996,-6.4991455078125
-6.598017692565918,-6.534204959869385
-6.591710090637207,-6.55547571182251
-6.822286128997803,-6.567553997039795
-6.81581974029541,-6.652464389801025
-6.8028788566589355,-6.706916332244873
-6.796403884887695,-6.738903522491455
-6.796403884887695,-6.758070468902588
-7.195815563201904,-6.770848274230957
-7.20253324508667,-6.912504196166992
-7.195815563201904,-7.009180545806885
-7.195815563201904,-7.071392059326172
-7.195815563201904,-7.1128668785095215
-7.369630813598633,-7.14051628112793
-7.376453876495361,-7.216887950897217
-7.376453876495361,-7.270076274871826
-7.369630813598633,-7.305535316467285
-7.362804889678955,-7.326900482177734
-7.464915752410889,-7.338868618011475
-7.451131343841553,-7.380884170532227
-7.437332630157471,-7.404299736022949
-7.437332630157471,-7.415310859680176
-7.4442338943481445,-7.422651290893555
-7.451131343841553,-7.429845809936523
-7.60559606552124,-7.436940670013428
-7.612579822540283,-7.493159294128418
-7.626534461975098,-7.532966136932373
-7.626534461975098,-7.564155578613281
-7.619559288024902,-7.584948539733887
-7.7700581550598145,-7.596485614776611
-7.762994289398193,-7.654343128204346
-7.755927085876465,-7.690560340881348
-7.755927085876465,-7.712348937988281
-7.762994289398193,-7.726875305175781
-7.708244800567627,-7.738914966583252
-7.687028884887695,-7.728691577911377
-7.665777206420898,-7.714803695678711
-7.651590824127197,-7.698461532592773
-7.644491195678711,-7.670055866241455
-7.730384826660156,-7.685412406921387
-7.730384826660156,-7.700403213500977
-7.70898962020874,-7.710397243499756
-7.694705486297607,-7.709928035736084
-7.687557697296143,-7.7048540115356445
-7.7137603759765625,-7.6990885734558105
-7.706593990325928,-7.703979015350342
-7.699423789978027,-7.704850673675537
-7.692249298095703,-7.703042030334473
-7.706593990325928,-7.69944429397583
-7.77522087097168,-7.701827526092529
-7.768012523651123,-7.726292133331299
-7.77522087097168,-7.740199089050293
-7.782426357269287,-7.751873016357422
-7.782426357269287,-7.762057304382324
-7.877930164337158,-7.7688469886779785
-7.8851752281188965,-7.805208206176758
-7.899653911590576,-7.831863880157471
-7.914114475250244,-7.8544602394104
-7.92133903503418,-7.874345302581787
-7.90435791015625,-7.890009880065918
-7.918760299682617,-7.894792556762695
-7.933145523071289,-7.9027814865112305
-7.940331935882568,-7.91290283203125
-7.954692840576172,-7.922046184539795
-7.976202487945557,-7.932928085327148
-8.069795608520508,-7.947352886199951
-8.076990127563477,-7.964901924133301
-8.084179878234863,-7.9766011238098145
-8.091364860534668,-7.984400749206543
-8.098546981811523,-7.989600658416748
-8.157495498657227,-7.993067264556885
-8.179054260253906,-7.995378017425537
-8.200573921203613,-7.996918678283691
-8.222055435180664,-7.997945785522461
-8.243497848510742,-7.998630523681641
-8.281332969665527,-7.999086856842041
-8.288481712341309,-7.999391555786133
-8.302766799926758,-7.999594211578369
-8.302766799926758,-7.999729633331299
-8.317034721374512,-7.999819755554199
-8.535489082336426,-7.999879837036133
-8.549919128417969,-7.999919891357422
-8.564332008361816,-7.999946594238281
-8.57872486114502,-7.999964237213135
-8.585914611816406,-7.99997615814209
-8.585914611816406,-7.999984264373779
-8.678116798400879,-7.9999895095825195
-8.678116798400879,-7.999992847442627
-8.678116798400879,-7.999995231628418
-8.670896530151367,-7.999996662139893
-8.670896530151367,-7.999998092651367
-8.615765571594238,-7.999998569488525
-8.615765571594238,-7.999999046325684
-8.615765571594238,-7.999999523162842
-8.615765571594238,-7.999999523162842
-8.622970581054688,-7.999999523162842
-8.562996864318848,-8.0
-8.570172309875488,-8.0
-8.570172309875488,-8.0
-8.562996864318848,-8.0
-8.570172309875488,-8.0
-8.634302139282227,-8.0
-8.634302139282227,-8.0
-8.64867877960205,-8.0
-8.64867877960205,-8.0
-8.655858993530273,-8.0
-8.655858993530273,-8.0
-8.782989501953125,-8.0
-8.775749206542969,-8.0
-8.76850414276123,-8.0
-8.775749206542969,-8.0
-8.775749206542969,-8.0
-8.722200393676758,-8.0
-8.736632347106934,-8.0
-8.743842124938965,-8.0
-8.729418754577637,-8.0
-8.714977264404297,-8.0
-8.79126262664795,-8.0
-8.784004211425781,-8.0
-8.776740074157715,-8.0
-8.769472122192383,-8.0
-8.776740074157715,-8.0
-8.787860870361328,-8.0
-8.773295402526855,-8.0
-8.773295402526855,-8.0
-8.766005516052246,-8.0
-8.751410484313965,-8.0
-8.78587532043457,-8.0
-8.778533935546875,-8.0
-8.771186828613281,-8.0
-8.756478309631348,-8.0
-8.749115943908691,-8.0
-8.79182243347168,-8.0
-8.784445762634277,-8.0
-8.784445762634277,-8.0
-8.77706527709961,-8.0
-8.77706527709961,-8.0
-8.776637077331543,-8.0
-8.776637077331543,-8.0
-8.769259452819824,-8.0
-8.754488945007324,-8.0
-8.732295989990234,-8.0
-8.71284008026123,-8.0
-8.698003768920898,-8.0
-8.668272972106934,-8.0
-8.64592170715332,-8.0
-8.61605167388916,-8.0
-8.617321968078613,-8.0
-8.594791412353516,-8.0
-8.564679145812988,-8.0
-8.549592971801758,-8.0
-8.542043685913086,-8.0
-8.51936149597168,-8.0
-8.516014099121094,-8.0
-8.500802040100098,-8.0
-8.493188858032227,-8.0
-8.470318794250488,-8.0
-8.462685585021973,-8.0
-8.44764518737793,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.432341575622559,-8.0
-8.424683570861816,-8.0
-8.350308418273926,-8.0
-8.350308418273926,-8.0
-8.365584373474121,-8.0
-8.373214721679688,-8.0
-8.380840301513672,-8.0
-8.235908508300781,-8.0
-8.250985145568848,-8.0
